PSize;OD;thk;BendAngle;BendRadius
DN15;21.34;2.77;90;38
DN20;26.67;2.87;90;38
DN25;33.4;3.38;90;38
DN32;42.16;3.56;90;48
DN40;48.26;3.68;90;57
DN50;60.32;3.91;90;76
DN65;73.02;5.16;90;95
DN80;88.9;5.49;90;114
DN90;101.6;5.74;90;133
DN100;114.3;6.02;90;152
DN125;141.3;6.55;90;190
DN150;168.27;7.11;90;229
DN200;219.07;8.18;90;305
DN250;273.05;7.8;90;381
DN300;323.85;9.52;90;457
DN350;355.6;9.52;90;533
DN400;406.4;9.52;90;610
DN450;457.2;9.52;90;686
DN500;508;9.52;90;762
DN550;558.8;9.52;90;838
DN600;609.6;9.52;90;914
